HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD: Q0015 SLEIPNER
WELL NAME: 15/9-19
WELLBORE NAME: 15/9-19 A
Drilled From: 15/9-19 SR
Kick Off Depth: 2182.95m
Survey Name: 15/9-19 A
Survey Date: 13.10.2005
Extraction Date: 11.01.2024
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Byford Dolphin RT(25.00m)
----------------------------------------------------------------
Surface EW: 437506.858m
Surface NS: 6477887.468m
Surface Latitude: 58° 26' 9.2419 N
Surface Longitude: 1° 55' 47.0592 E
Bottom Hole MD: 4131.00m
Bottom Hole TVD: 3318.72m
Bottom Hole EW: 436259.408m
Bottom Hole NS: 6478823.712m
----------------------------------------------------------------
Survey Program:  
H  123 - 2183 9 5/8" EASTMAN RIGS : RIGS, CONT
H  2183 - 2712 8 1/2" GYRODATA RGSCT : WELLBORE SURVEYOR, CONT
H  2724 - 4111 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
----------------------------------------------------------------
Water Depth: 84.00m
KB-WH: 109.00m
KB-MSL: 25.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 306.89deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
3615.00   21.30     9.60      2850.98   -1349.529       756.625         436150.786      6478636.939     1.62      
3632.00   20.70     9.10      2866.85   -1348.539       762.636         436151.776      6478642.948     1.11      
3657.00   24.00     18.20     2889.97   -1346.251       771.834         436154.063      6478652.142     5.73      
3678.00   23.40     23.50     2909.20   -1343.254       779.716         436157.059      6478660.022     3.16      
3707.00   25.00     28.30     2935.66   -1338.052       790.395         436162.259      6478670.696     2.62      
3721.00   26.60     30.20     2948.26   -1335.072       795.709         436165.238      6478676.009     3.86      
3736.00   26.80     31.20     2961.66   -1331.631       801.504         436168.677      6478681.801     0.98      
3765.00   26.80     33.10     2987.55   -1324.674       812.573         436175.632      6478692.867     0.89      
3794.00   27.50     34.60     3013.35   -1317.302       823.561         436183.002      6478703.851     1.01      
3823.00   26.10     34.20     3039.24   -1309.914       834.349         436190.387      6478714.635     1.46      
3852.00   25.50     34.70     3065.35   -1302.775       844.757         436197.524      6478725.040     0.66      
3882.00   25.60     33.30     3092.41   -1295.540       855.483         436204.756      6478735.762     0.61      
3911.00   25.60     33.80     3118.57   -1288.615       865.926         436211.679      6478746.201     0.22      
3939.00   25.70     33.90     3143.81   -1281.864       875.992         436218.428      6478756.264     0.12      
3968.00   25.90     32.90     3169.92   -1274.916       886.529         436225.373      6478766.797     0.50      
3997.00   25.90     32.50     3196.00   -1268.073       897.189         436232.214      6478777.453     0.18      
4025.00   25.60     32.20     3221.22   -1261.564       907.465         436238.721      6478787.726     0.35      
4084.00   22.50     29.60     3275.10   -1249.192       928.073         436251.088      6478808.326     1.67      
4111.00   21.60     27.90     3300.12   -1244.314       936.957         436255.964      6478817.207     1.23      
4131.00   21.60     27.90     3318.72   -1240.869       943.464         436259.408      6478823.712     0.00      
